Landfill ID,Landfill Name,State,Physical Address,City,County,Zip Code,Latitude,Longitude,Ownership Type,Landfill Owner Organization(s),Year Landfill Opened,Current Landfill Status
21023,Richland County Landfill,MT,13436 Highway 16,Sidney,Richland,59270,47.8509,-104.2762,Public,,,Open
21024,Rosebud County Landfill,MT,4 miles N of Colstrip on Hwy 39,Colstrip,Rosebud,59323,45.958,-106.665,Public,,,Open
20838,Scratch Gravel Landfill,MT,Franklin Mine Road,Helena,Lewis and Clark,59601,,,Public,"Lewis and Clark County, MT",,Closed
21025,Sheridan County Landfill,MT,201 Mann Road,Plentywood,Sheridan,59254,48.7562,-104.592,Public,,,Open
21026,Town of Chester,MT,Dump Road,Chester,Liberty,59522,48.5043,-110.948,Public,,,Open
21027,Valley County Landfill,MT,115 Landfill Road,Glasgow,Valley,59230,48.1893,-106.565,Public,,,Open
20899,Valley View Landfill,MT,300 Highway 518,East Helena,Lewis and Clark,59635,46.56937,-111.90459,Private,Tri County Disposal,1988,Open
1046,Alamance County Landfill,NC,2701 Austin Quarter Road SR-2148,Graham,Alamance,27253,35.93083,-79.29667,Public,"Alamance County, NC",1994,Open
1041,Alexander County Landfill,NC,2500 Paynes Dairy Road,Taylorsville,Alexander,28681,35.9005,-81.2132,Public,Landfill Owner of Alexander County Landfill,1979,Closed
1042,Alleghany County LF,NC,431 Osborne Road,Sparta,Alleghany,,36.49357,-81.14299,Public,Alleghany County,1981,Closed
1043,Anderson Creek LF Harnett County,NC,NC State Road 1164 Poplar Drive,Anderson Creek,Harnett,27546,35.3277,-78.9317,Public,"Harnett County, NC",1975,Closed
1044,Anson County LF,NC,Highway 74 West,Lilesville,Anson,,34.9352,-79.9367,Public,"Anson County, NC",1978,Closed
2424,Anson County Waste Management Facility,NC,"375 Dozer Drive
(375 Allied Road)",Polkton,Anson,28135,34.973,-80.257,Private,"Waste Connections, Inc.",2000,Open
1045,Ashe County Landfill,NC,729 Fred Pugh Road,Crumpler,Ashe,28617,36.521,-81.368,Public,"Ashe County, NC",1972,Open
1047,Avery County LF,NC,2175 Brushy Creek Road,Spruce Pine,Avery,28777,35.9515,-81.9865,Public,"Avery County, NC",1972,Closed
1048,Beaufort County LF,NC,,,Beaufort,,,,Public,Weyerheuser County,1978,Closed
1049,Bertie County LF,NC,,,Bertie,,,,Public,Bertie County,1972,Closed
1059,Blackburn SLF,NC,3993 Rocky Ford Road,Newton,Catawba,28658,35.6077,-81.31,Public,"Catawba County, NC",1980,Open
1050,Bladen County LF,NC,,Elizabethtown,Bladen,28337,34.6486,-78.5737,Public,Bladen County,1972,Closed
1051,Brunswick County LF,NC,179 March 9 1764 Dr NE,Bolivia,Brunswick,28422,34.0564,-78.1702,Private,Landfill Owner of Brunswick County LF,1983,Closed
2142,Buncombe County New Landfill,NC,85 Panther Branch Road,Alexander,Buncombe,28701,35.7272,-82.644,Public,"Buncombe County Department of Solid Waste, NC",1997,Open
1052,Buncombe County Old Landfill,NC,Highway 251,Woodfin,Buncombe,28804,35.661,-82.608,Public,"Buncombe County Department of Solid Waste, NC",1972,Closed
1055,Caldwell County Mt. Herman Landfill,NC,1200 Drag Strip Road,Hudson,Caldwell,28638,35.87695,-81.467236,Public,"Caldwell County, NC",1977,Closed
1056,Canton LF-Haywood County,NC,SR 1854,Canton,Haywood,28716,35.52493,-82.82085,Public,"Town of Canton, NC",1975,Closed
1057,Carteret County LF,NC,,Beaufort,Carteret,,,,Public,"Carteret County, NC",1983,Closed
