State,,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"Marion County, Indiana(6,8)",,468.7,462.4,475.1,4431,falling,-1,-1.4,-0.6
"Hamilton County, Ohio(6,8)",,473.7,467.3,480.2,4410,falling,-0.3,-0.5,-0.1
"Polk County, Florida(6,8)",,491,484.2,497.8,4338,falling,-1.1,-1.5,-0.7
"Middlesex County, New Jersey(7,8)",,460.8,454.5,467.1,4293,falling,-0.9,-1.1,-0.7
"Mecklenburg County, North Carolina(6,8)",,443.3,437.1,449.4,4274,falling,-1.2,-1.6,-0.8
"Brevard County, Florida(6,8)",,471.7,464.9,478.6,4178,falling,-4.8,-9,-0.5
"Monmouth County, New Jersey(7,8)",,523.2,515.9,530.7,4160,stable,0.4,-1.4,2.3
"Norfolk County, Massachusetts(7,8)",,474.6,467.9,481.3,4087,falling,-1.5,-2,-1.1
"Fairfax County, Virginia(6,8)",,342.4,337.6,347.3,4084,falling,-1.8,-2.4,-1.3
"Bucks County, Pennsylvania(6,8)",,490.9,484,498,4081,falling,-0.6,-0.8,-0.3
"San Francisco County, California(7,8)",,400.2,394.6,405.9,4032,falling,-1.6,-2,-1.2
"Snohomish County, Washington(7,8)",,484.5,477.6,491.5,3990,falling,-0.7,-0.9,-0.4
"Salt Lake County, Utah(7,8)",,409,403.2,414.9,3989,falling,-0.8,-1.1,-0.5
"Ventura County, California(7,8)",,417.2,411.3,423.2,3968,falling,-1.5,-2,-0.9
"Sarasota County, Florida(6,8)",,475.9,468.1,483.8,3942,stable,0.6,-0.3,1.5
"Volusia County, Florida(6,8)",,482.3,475.1,489.5,3939,rising,3.1,1.1,5.1
"Essex County, New Jersey(7,8)",,462.1,455.6,468.8,3930,falling,-0.7,-1.1,-0.2
"Travis County, Texas(6,8)",,391.9,386.1,397.7,3889,stable,0,-1.9,1.9
"Prince Georges County, Maryland(6,8)",,409.8,403.8,415.9,3838,stable,-0.6,-1.1,0
"Oklahoma County, Oklahoma(6,8)",,466.5,459.7,473.4,3759,falling,-0.7,-1.2,-0.1
"San Mateo County, California(7,8)",,415.3,409.3,421.4,3750,falling,-1.7,-2.5,-0.8
"Multnomah County, Oregon(6,8)",,458,451.3,464.9,3743,falling,-0.6,-0.8,-0.3
"Pasco County, Florida(6,8)",,505.8,498.2,513.5,3736,falling,-0.8,-1.1,-0.4
"Fresno County, California(7,8)",,402.8,396.9,408.8,3674,falling,-0.8,-1,-0.5
"Jackson County, Missouri(6,8)",,457.5,450.7,464.5,3554,stable,-0.4,-0.7,0
"Jefferson County, Alabama(6,8)",,452.6,445.8,459.6,3496,falling,-0.8,-1.1,-0.5
"Gwinnett County, Georgia(7,8)",,452.8,445.6,460,3487,stable,-0.2,-0.4,0
"Delaware County, Pennsylvania(6,8)",,506,498.2,513.8,3445,falling,-0.6,-1,-0.2
"Lake County, Illinois(6,8)",,451.4,444.5,458.4,3442,falling,-1,-1.4,-0.7
"Will County, Illinois(6,8)",,491.9,484.3,499.5,3425,falling,-0.5,-0.9,-0.2
"Cobb County, Georgia(7,8)",,472.3,464.9,479.7,3394,falling,-0.3,-0.5,-0.2
"Collin County, Texas(6,8)",,402.3,395.9,408.6,3374,falling,-1.5,-1.8,-1.2
"Providence County, Rhode Island(6,8)",,463.8,456.6,471.1,3359,falling,-3.5,-6.8,-0.1
"Tulsa County, Oklahoma(6,8)",,481.4,473.9,488.9,3284,stable,0.6,-0.8,1.9
"Baltimore City, Maryland(6,8)",,489.5,481.8,497.3,3263,stable,-0.5,-0.9,0
"DeKalb County, Georgia(7,8)",,451.2,444.1,458.5,3249,falling,-1.2,-1.8,-0.6
"Plymouth County, Massachusetts(7,8)",,486.3,478.6,494.2,3187,falling,-1.1,-1.5,-0.7
"Suffolk County, Massachusetts(7,8)",,428.9,422.1,435.8,3178,falling,-2.9,-3.6,-2.3
"Montgomery County, Ohio(6,8)",,467.7,460.2,475.3,3146,stable,0.4,-1.1,1.9
"Kern County, California(7,8)",,404.5,398,411,3137,falling,-0.9,-1.3,-0.6
"Camden County, New Jersey(7,8)",,524.6,516.2,533.1,3123,falling,-0.4,-0.7,-0.1
"Summit County, Ohio(6,8)",,452.6,445.3,460,3120,falling,-0.5,-0.8,-0.1
"El Paso County, Texas(6,8)",,394.3,388,400.6,3104,falling,-0.6,-0.9,-0.2
"New Castle County, Delaware(6,8)",,484,476.2,491.9,3073,falling,-0.7,-1,-0.4
"Lancaster County, Pennsylvania(6,8)",,459.8,452.3,467.4,3054,falling,-0.5,-0.8,-0.2
"Marion County, Florida(6,8)",,514,505,523.1,3044,falling,-0.6,-1.1,-0.1
"Bristol County, Massachusetts(7,8)",,437.6,430.5,444.9,3030,falling,-2.6,-3.9,-1.3
"Morris County, New Jersey(7,8)",,487.9,479.9,495.9,3030,falling,-0.9,-1.3,-0.5
"Bernalillo County, New Mexico(7,8)",,389.7,383.4,396.2,3018,falling,-0.8,-1,-0.6
"Davidson County, Tennessee(6,8)",,449.9,442.6,457.4,3013,stable,-0.4,-1.9,1.1
"Richmond County, New York(7,8)",,528.5,519.8,537.3,2965,stable,0,-0.3,0.2
"San Joaquin County, California(7,8)",,413.5,406.8,420.4,2964,stable,-0.4,-1.1,0.4
"Onondaga County, New York(7,8)",,517.3,508.8,526,2962,falling,-1,-1.5,-0.6
"Burlington County, New Jersey(7,8)",,527.8,519.1,536.6,2956,falling,-0.4,-0.7,-0.1
"Anne Arundel County, Maryland(6,8)",,462.3,454.7,470,2937,falling,-0.7,-1.2,-0.2
"Chester County, Pennsylvania(6,8)",,477.9,470,485.9,2933,falling,-0.8,-1.1,-0.4
"District of Columbia(6,8)",,429.1,421.9,436.4,2837,falling,-4,-6.2,-1.8
"Sonoma County, California(7,8)",,431.8,424.4,439.3,2832,falling,-1.7,-2.4,-1.1
"El Paso County, Colorado(6,8)",,422.4,415.3,429.6,2824,falling,-1,-1.4,-0.5
"Guilford County, North Carolina(6,8)",,481,472.9,489.2,2810,stable,-0.4,-1,0.3
"Union County, New Jersey(7,8)",,453.7,446,461.4,2802,falling,-1.2,-1.4,-1
"Kent County, Michigan(6,8)",,421.2 #  ,414,428.4,2802,falling,-2.6,-3.9,-1.3
"Jefferson County, Colorado(6,8)",,407.6,400.7,414.7,2789,falling,-1.5,-2.2,-0.9
"Lake County, Florida(6,8)",,510.6,501.4,519.9,2758,falling,-0.7,-1.1,-0.3
"Lake County, Indiana(6,8)",,471.5,463.4,479.6,2757,falling,-0.7,-1.1,-0.2
"Denton County, Texas(6,8)",,408.5,401.3,415.8,2746,stable,-0.3,-2.9,2.3
"Douglas County, Nebraska(6,8)",,488.2,479.8,496.8,2687,stable,1.2,-0.3,2.7
"York County, Pennsylvania(6,8)",,481.6,473.2,490,2663,falling,-0.6,-1,-0.3
"Denver County, Colorado(6,8)",,412.3,405.1,419.6,2656,falling,-1.7,-2.4,-1
"Manatee County, Florida(6,8)",,438.9,430.8,447.1,2634,stable,-0.4,-1,0.1
"Greenville County, South Carolina(6,8)",,465.7,457.6,473.9,2628,falling,-0.7,-0.9,-0.4
"Westmoreland County, Pennsylvania(6,8)",,487.8,479,496.7,2609,stable,-0.2,-0.5,0.2
"Hudson County, New Jersey(7,8)",,403.5,396.5,410.6,2607,falling,-1.2,-1.5,-0.9
"Jefferson Parish, Louisiana(7,8)",,483.9,475.3,492.5,2584,stable,-0.1,-0.5,0.4
"Arapahoe County, Colorado(6,8)",,399.3,392.2,406.5,2553,falling,-2,-2.4,-1.5
"Passaic County, New Jersey(7,8)",,451.6,443.6,459.7,2510,falling,-0.8,-1.1,-0.6
"Waukesha County, Wisconsin(6,8)",,477.6,469,486.4,2499,falling,-0.8,-1,-0.5
"Berks County, Pennsylvania(6,8)",,486.2,477.5,495.1,2491,stable,-0.2,-0.6,0.1
"Washington County, Oregon(6,8)",,421.2,413.6,428.9,2459,falling,-0.6,-1,-0.2
"Fort Bend County, Texas(6,8)",,372.3,365.3,379.4,2451,falling,-2.2,-2.5,-1.9
"Knox County, Tennessee(6,8)",,466.9,458.5,475.4,2445,falling,-1,-1.6,-0.5
"Genesee County, Michigan(6,8)",,477.5 #  ,468.9,486.3,2440,falling,-1.2,-1.7,-0.8
"Hampden County, Massachusetts(7,8)",,428.8,421,436.8,2431,falling,-1.1,-1.4,-0.8
"Collier County, Florida(6,8)",,378.3,370.7,385.9,2427,falling,-1.7,-2.3,-1.1
"Dane County, Wisconsin(6,8)",,450.2,441.9,458.5,2399,falling,-0.8,-1.2,-0.4
"Lucas County, Ohio(6,8)",,465.4,456.8,474.1,2392,falling,-0.9,-1.4,-0.5
"Kane County, Illinois(6,8)",,438,430,446.2,2378,falling,-1,-1.3,-0.7
"Hidalgo County, Texas(6,8)",,331.7,325.7,337.8,2357,falling,-1.2,-1.7,-0.8
"Clackamas County, Oregon(6,8)",,463,454.3,471.8,2336,stable,-0.3,-0.6,0
